"Row.names","logFC","logCPM","LR","PValue","FDR","A","A-tissue","B","B-tissue"
"PDK4",4.7058422031549,6.49821429238914,5.01020541618946,0.025198317135962,0.255731421033594,14.0662980739528,7488.87383596089,32.4034808904697,1427.35525078375
"SEC24B",-5.29789103126222,5.27149908177759,5.01132996284891,0.025181954207137,0.255731421033594,106.731425143494,7631.20623342798,0.302922025360409,1729.39859036908
"E2F7",-10.7550671974691,3.21073828434577,5.00057914546731,0.0253388385756383,0.256836492379035,0.391643781800672,613.1241737044,0,98.8991465898856
"ADAM8",-10.079610566419,2.78095012495089,4.9813978462733,0.0256212732094358,0.256928883151169,36.2432772610102,306.5620868522,0,149.685194838746
"DMWD",-9.6946445627191,2.92008772553103,4.97052073655688,0.0257828839236974,0.256928883151169,1.81534715497591,1226.2483474088,0,457.074434239742
"DYNLT3",-5.1286334021096,5.81588441099302,4.97640326276558,0.0256953510428799,0.256928883151169,270.694682017348,3421.45186218973,1.06967631439522,849.99807069145
"FAM83E",-9.49369126347098,5.23593496087083,4.98979254060728,0.0254972654984545,0.256928883151169,23.5091528179525,12716.8522813868,0,4637.56809009329
"G6PD",-10.0162373423938,3.33612822583749,4.97705206891131,0.025685715628335,0.256928883151169,34.6106972042079,2151.4089309449,0,489.149833133759
"GRPEL2",-7.38726236752604,4.83308021974643,4.9818538392114,0.0256145211489504,0.256928883151169,1.14882175994864,1828.42387515419,0.127792381505801,235.219591889458
"HEATR2",9.187680093668,3.29872944835522,4.99307333797295,0.0254489706246092,0.256928883151169,0,3038.24925362448,2.73097727397063,729.715324838886
"OCEL1",-6.84810341465818,4.58842184987728,4.99504479745599,0.025419995523275,0.256928883151169,122.443504260169,2496.29127865363,0.127792381505801,630.816178249
"PLEK2",-6.23298093031551,5.0228766949966,4.99696196745292,0.0253918511875467,0.256928883151169,3.25166674129815,6136.7160600235,0.255584763011602,884.746419493301
"PLRG1",6.3871265571317,4.30238397603591,4.97472243197533,0.0257203305133527,0.256928883151169,0.326516011360452,6410.43220899868,4.7709763323365,1226.88400769615
"PNPLA7",-9.97677369598795,3.47994913949872,4.96886027989614,0.0258076477857139,0.256928883151169,33.6311491701265,1445.22126658894,0,930.186567926492
"PRLR",-9.28297152027516,4.24934012177501,4.96785620746549,0.0258226343947966,0.256928883151169,13.1128596253248,8184.11285435784,0,1547.63799663632
"RNPEPL1",-6.32522129036186,5.6093578600403,4.96942034137211,0.0257992923321428,0.256928883151169,159.666329555261,11830.0119587072,0.255584763011602,2790.55970377948
"TAX1BP3",-2.94301710151595,11.209756337601,4.974978545337,0.0257165226861815,0.256928883151169,12192.8985050211,1987.1792415598,209.079516918542,700.312875852704
"TSFM",9.85755180478827,3.16655213573698,4.97885745268908,0.0256589236360511,0.256928883151169,0,2118.56299306788,4.85611049722044,366.19413737336
"RBM24",-10.0289499724915,3.01324392118359,4.96466805199566,0.0258702802019649,0.257087888567629,34.9372132155683,1423.32397467093,0,195.125343271937
"MYLK",-4.10848527477308,7.93391311641715,4.9613122354308,0.0259205303139609,0.257272354057516,1112.72696375866,25253.05190445,6.71630086600476,5247.00066907961
"MAN1A2",-9.74672997705243,4.39951498630573,4.95353625281724,0.0260373582553129,0.257867564903964,28.4068929883593,8457.82900333302,0,1697.32319147506
