sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
PMEPA1,53,555,581,470,9,69
PTPN12,53,961,1041,609,12,271
SDC4,53,3644,1334,1789,41,1329
SETD3,53,1966,463,730,16,83
AC002310.17,52,0,126,1,7,29
BTBD1,52,2282,5,968,5,47
CYCS,52,6491,243,2374,39,359
PAFAH1B2,52,2063,42,871,21,244
SMARCE1,52,933,28,464,3,60
SPPL2A,52,3457,1873,1879,74,101
TGOLN2,52,13704,1905,5726,62,276
TXNRD1,52,3098,3251,1740,28,642
ARL4A,51,626,38,380,8,94
CORO1C,51,1684,159,1005,57,377
DNAJB14,51,1337,264,680,11,112
KPNB1,51,4637,1717,1812,26,14
MPRIP,51,2196,21,1659,3,5
MYADM,51,976,0,466,20,10
NPC2,51,1937,1083,713,30,347
NUP153,51,1499,0,661,3,18
OCIAD2,51,1139,1388,763,128,149
PCNXL3,51,1470,293,877,1,4
PFKFB3,51,602,3821,189,30,459
PPP1R13B,51,1044,1201,744,0,24
ZNF706,51,1090,606,619,42,103
ADTRP,50,2236,3821,1012,95,492
CDC42EP4,50,1591,1100,692,11,30
CHCHD10,50,1202,16,490,21,202
ERBB3,50,8818,2507,6154,32,114
HECA,50,1205,119,856,76,194
LINC00963,50,222,2,105,2,0
REP15,50,204,457,65,49,274
RPL8,50,16280,4499,5095,163,776
SOD1,50,2791,90,1164,9,166
SPG21,50,1165,6709,441,90,1360
TFG,50,2925,21,1445,15,230
CHUK,49,1019,1,466,0,151
CYSTM1,49,3323,3784,1326,99,628
DAAM1,49,1136,38,563,16,178
FCGRT,49,5260,1091,2199,55,105
HNRNPA2B1,49,18495,761,8038,97,458
INSR,49,2458,4246,1213,43,432
KRT8,49,37219,1112,23708,17,143
MED17,49,710,122,261,0,2
MOB1A,49,4869,3896,1975,36,553
PEX26,49,3665,7157,2925,112,414
PPP1R7,49,1176,33,477,4,1
SMAD1,49,563,20,283,5,0
UBE2C,49,268,25,131,1,0
DPY30,48,356,162,120,3,14
FURIN,48,2573,4382,1562,52,133
LINC00674,48,362,216,146,3,24
STRN,48,2025,2233,1095,28,360
WDFY2,48,115,0,81,1,8
ZNF254,48,416,0,203,3,1
ANTXR2,47,2589,8,1195,2,2
ATP5H,47,1889,53,766,8,59
COPG1,47,6540,1058,2493,32,632
EXOC6,47,635,0,235,0,45
KLK1,47,2392,6389,1133,38,86
MTCO3P1,47,0,0,1,0,0
PRR14,47,547,3,315,1,3
THRAP3,47,2913,2062,1397,52,177
TNRC6A,47,1180,0,779,2,34
UBE2Q2P6,47,341,599,108,28,147
UBE3B,47,1647,3014,774,30,24
ATF4,46,2323,339,1346,25,458
DPP6,46,18,21,11,2,7
FOXN3,46,1557,105,588,27,190
HNF4A,46,8606,5408,5172,81,562
HSD17B11,46,6823,9259,2903,627,3098
RAB12,46,298,177,129,5,28
RNPEP,46,2565,143,1308,20,57
TBC1D9,46,588,7,308,6,49
ZFAND2A,46,188,446,392,11,132
AUTS2,45,1521,0,781,21,723
C19orf43,45,1133,3270,623,41,131
CDK13,45,1265,26,683,11,128
HELLS,45,294,2,89,0,0
HEPACAM2,45,5311,645,1837,7,149
LETMD1,45,1027,798,525,5,16
MRPL48,45,461,1,166,1,0
MTND5P11,45,45,97,67,18,121
NDUFA1,45,2175,380,920,125,1235
SERINC2,45,10047,875,4611,23,287
STX12,45,2242,5262,1061,19,814
TXN,45,4971,292,2497,35,42
C8orf59,44,176,3,99,0,0
FGD6,44,789,128,510,3,0
KPNA3,44,1225,0,544,0,0
LMAN2,44,2574,496,1045,27,148
MGST1,44,2246,2527,973,27,149
MLLT4,44,5874,477,3491,17,248
MTRNR2L10,44,2,44,10,14,85
PLEKHB2,44,7801,3308,3429,173,222
RP11-96D24.1,44,0,0,0,0,0
STXBP3,44,1958,43,873,17,156
SVIP,44,823,78,290,9,0
TNFAIP2,44,35,17,43,5,3
WBP2NL,44,10,1,11,0,0
AC009518.4,43,0,0,0,0,0
ALKBH5,43,1611,115,487,8,12
ANP32B,43,2216,1,682,5,8
ATXN3,43,476,163,227,1,38
BET1L,43,1145,348,578,0,81
CBWD3,43,0,24,5,17,11
HIST1H2BC,43,33,1,18,0,0
JUP,43,9420,198,6453,35,58
MRPL19,43,974,77,378,0,0
MTO1,43,490,0,202,1,0
PGGT1B,43,763,92,373,8,365
PTPRN2,43,1211,15,536,0,30
SCAF4,43,1188,11,621,2,21
TMEM65,43,754,15,333,11,72
ARFIP1,42,2084,674,788,5,306
ATP6V1H,42,790,0,334,1,0
CGN,42,6222,33,5829,16,57
EXOSC6,42,344,29,135,12,58
IFI6,42,258,23,112,216,638
MYO6,42,3199,1921,1573,47,431
N4BP2L2,42,1536,0,1255,15,3
RASD2,42,307,6,205,11,5
SEPW1,42,2719,574,1630,33,298
SH2D3A,42,582,18,570,0,11
ZNF33A,42,1433,0,876,6,0
AGFG2,41,1535,331,580,13,133
ARID4A,41,788,100,438,1,5
CTSB,41,6208,483,3089,288,1398
CYFIP1,41,3793,278,1922,8,289
GPR137,41,375,3,191,1,9
IQGAP1,41,12712,286,5613,103,495
KRAS,41,3159,1196,1422,20,187
LINC01102,41,0,0,0,0,0
MAGED1,41,2186,1,840,9,0
MAN2A1,41,3847,962,1391,60,140
MAP3K2,41,2591,910,1275,51,546
MYO10,41,3745,300,1845,7,196
SQSTM1,41,2802,93,2281,6,38
ATP5F1,40,4031,0,1515,2,21
CNPPD1,40,2225,130,1120,49,30
DLD,40,4610,0,1679,41,92
METTL9,40,1361,242,593,16,25
MMGT1,40,1312,2000,491,7,0
PIK3AP1,40,525,87,264,33,8
RP1-151F17.2,40,39,0,65,0,0
RP11-475J5.11,40,3,53,1,28,103
ZNF24,40,2772,24,1196,25,30
AFF1,39,3499,793,1725,26,381
ATP2C1,39,2844,0,1268,8,129
DTX3L,39,2241,1,1125,41,529
EIF4B,39,3222,2360,1008,16,56
FTH1P2,39,0,206,1,20,75
GNA13,39,3514,1504,2198,14,119
IFT74,39,620,0,188,0,0
MT1X,39,379,213,159,6,51
AC093838.4,38,133,2,84,1,0
AKAP9,38,8214,1277,3229,19,165
ATP2B1,38,5035,1,2921,21,268
FAM200B,38,425,1,218,8,4
RBBP5,38,904,215,281,11,34
RP11-372E1.6,38,0,0,0,0,0
RPS19,38,7758,3059,2662,38,273
STAU1,38,3146,9475,1424,132,1713
TP53I3,38,969,101,704,2,0
UBA52P5,38,1,11,0,56,41
UBE3C,38,2798,627,1102,9,67
ABCC3,37,6965,13,5458,3,13
ACVR1B,37,3654,1248,1597,7,20
ANKRD17,37,3655,92,1452,3,65
APOA4,37,0,848,0,36,533
CDC42EP3,37,650,4752,408,24,192
KCTD5,37,1224,39,839,27,90
MTTP,37,0,378,0,8,83
PPP1R11,37,1964,1542,967,35,41
RPS24,37,9458,3650,2904,326,1047
SMCHD1,37,2929,570,1846,24,251
TNFAIP8,37,263,24,152,4,1
TPM4,37,4109,971,3627,102,267
VAV2,37,1817,6,875,4,25
ZNF207,37,3067,944,1698,9,4
ANKRD49,36,486,0,237,2,1
ARIH2,36,1090,541,597,5,6
ARRB1,36,1213,832,533,1,0
GPSM3,36,148,73,87,1,0
HLA-F,36,873,4,1141,20,191
IRS2,36,349,358,311,142,847
MEP1A,36,13145,397,6278,35,252
MTRNR2L4,36,2,21,3,3,27
PSAP,36,15417,3597,5984,63,106
REEP4,36,761,208,364,6,228
SHOC2,36,1736,2534,986,147,820
SMIM22,36,732,677,360,41,233
VTI1B,36,1380,36,528,3,2
ZNF131,36,612,6,251,0,47
ABHD5,35,491,76,286,9,30
ALAS1,35,1863,2,1230,0,1
CDKN1A,35,3441,1344,4002,54,852
DR1,35,1708,211,764,7,194
ELOVL6,35,2048,2,1120,3,2
ERV3-1,35,124,14,48,21,7
GDE1,35,2834,48,1356,5,8
GPRC5A,35,9005,2396,7619,117,2003
GRB2,35,3409,2292,1475,145,260
HCP5,35,1127,0,506,0,12
LRP10,35,7468,2708,4953,33,150
MBTD1,35,824,1524,372,10,1
NEDD8,35,319,0,157,35,14
NIN,35,1048,6352,367,173,2512
PPP1R12B,35,2408,0,1403,0,0
PSMD12,35,1107,102,500,0,1
RDH10,35,673,67,329,48,252
SDCBP,35,3175,14197,1509,52,726
SERP1,35,4370,1559,2001,181,572
SLC3A2,35,1272,853,889,28,258
VOPP1,35,427,138,179,15,503
