sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
HMGCS2,113,22520,194,6049,36,92
JUN,113,1791,5960,1085,50,1798
PAQR8,113,5280,2678,2486,24,133
RPS13,113,3830,5798,1353,182,1107
THAP1,113,293,1,109,26,317
APOA1,112,0,788,0,20,585
ITM2B,112,9439,6487,4101,163,1010
PKM,112,11465,536,3743,7,220
SERPINE2,112,297,967,216,48,450
SURF4,112,5887,692,2672,22,383
ZMAT2,112,1301,704,630,65,216
CNN2,111,1181,452,732,44,228
GCFC2,111,322,1,122,1,0
ACAD8,110,740,29,375,14,46
EIF2S3,110,2520,698,821,10,491
HIF1A,109,2619,1745,1203,28,696
LIN7C,109,1368,710,436,16,654
RAB22A,109,1268,0,791,35,78
RPL28,109,7612,941,2769,78,257
SPAG16,109,455,0,189,19,0
XPR1,109,1116,0,466,2,383
CASZ1,108,585,138,567,0,4
HNRNPH2,108,1706,1759,731,53,327
MAP4K5,108,1276,48,650,20,347
USP53,108,3715,16,2160,19,234
ARF4,107,6828,3265,2422,129,306
C6orf89,107,2506,41,1146,10,231
PLEKHM2,107,722,0,437,1,0
STAG2,106,3246,405,1427,29,98
TGFBR2,106,1273,3,634,0,0
CBFA2T2,105,1046,0,655,0,9
DTNBP1,105,243,0,113,0,6
SAMD1,105,711,33,317,5,41
SYVN1,105,1393,12,797,2,2
TEAD3,105,858,33,516,1,3
CLDN4,104,13305,7228,12574,96,1732
PPIC,104,891,1650,349,21,59
PPIL4,104,692,836,315,4,26
TSPAN15,104,2571,991,1292,33,39
ZCCHC2,104,671,335,369,14,288
DDX5,103,11787,650,8252,19,272
MARCKSL1,103,5277,3455,1874,68,199
RCN1,103,831,0,268,0,0
ANXA4,102,4755,1122,2711,40,71
C1orf210,102,1185,2911,641,68,475
DST,102,5122,749,5826,19,333
DUSP23,102,257,24,120,1,0
MYEOV2,102,274,46,175,5,3
NAT1,102,575,0,291,3,11
PPP2R5E,102,1791,43,626,16,118
CTD-2270L9.4,101,10,1,9,0,0
MRFAP1L1,101,1044,816,401,20,2
SGTA,101,1149,6,519,11,28
NACA,100,7616,821,2503,74,676
NQO1,100,1670,110,745,14,57
TCF7L2,100,1972,693,1814,45,464
EIF3A,99,6990,87,2744,6,68
FAM162A,99,2868,45,1453,35,20
KMT2C,99,2390,1356,1335,6,43
MMADHC,99,1847,86,774,2,84
NCOA7,99,702,1,378,7,171
UBE2K,99,3372,749,1536,71,559
DHX9,98,4531,0,1307,0,50
NIFK,98,606,0,246,5,0
ZNF580,98,158,135,102,4,0
IVNS1ABP,97,6066,522,4186,39,155
ANKRD10,96,1285,420,812,23,64
HLA-E,96,9890,1460,4607,49,606
KCNMA1,96,763,2,346,2,0
RNF34,96,741,11,411,0,6
RP11-87N24.3,96,0,514,0,53,82
CFDP1,95,1140,618,612,43,107
MGLL,95,6978,4188,8389,21,90
PDPK1,95,1007,425,490,18,45
SOX4,95,1414,918,591,23,168
STRADB,95,669,529,344,84,162
TMEM2,95,4465,48,2737,114,1248
C1orf159,94,196,4,155,0,0
CTNNBL1,94,646,0,238,1,0
PTMAP5,94,31,385,14,11,101
RPS4X,94,12998,4998,3786,173,720
SLC17A4,94,1810,373,3724,5,26
SYTL2,94,9043,473,5552,5,107
CTC-340A15.2,93,0,0,0,0,0
AC092295.7,92,24,0,15,0,0
ACTR3,92,6160,1059,2998,150,972
MRFAP1,92,3355,1,1303,79,128
RHOB,92,969,5648,386,101,1265
SLC6A14,92,46,372,35,43,0
TMEM219,92,1614,202,770,24,96
BAX,91,1036,63,538,101,164
CHMP2B,91,2776,830,1698,8,411
ETS2,91,7921,732,2449,36,383
LAMTOR5,91,705,430,395,22,51
PSMA7,91,1781,159,769,80,326
COX7A2L,90,2305,5659,684,368,1673
LAMB3,90,3809,1975,2982,20,210
SMG7,90,2746,1201,1344,182,586
AP4E1,89,369,0,210,1,2
HIVEP3,89,94,24,44,0,0
HPCAL1,89,1180,87,595,22,506
PHIP,89,1525,71,742,6,0
RFX3,89,334,0,142,0,0
UHMK1,89,4667,216,1833,12,23
CTDSP1,88,2916,165,1599,4,6
GNAI3,88,2487,227,1100,19,28
HMGN1,88,1980,315,980,36,361
MRPL17,88,479,0,174,0,7
ATG5,87,1427,1,553,4,282
PSMD11,87,1862,2872,871,32,162
